"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000173334",1074.47707273372,2.41259537582195,0.0754657982644205,31.9693878724848,2.90558323535741e-224,6.12570738603446e-222,"10221","10221","10221"
"ENSG00000171951",793.124579134864,2.98015394814214,0.0935220565630027,31.8657871486659,7.95637710587698e-223,1.65119688625403e-220,"7857","7857","7857"
"ENSG00000153234",635.93920101828,4.32625480597754,0.135946196587787,31.82328681909,3.08368090630091e-222,6.30114612269056e-220,"4929","4929","4929"
"ENSG00000134057",780.375869741297,-2.66982548152427,0.0841790607374966,-31.7160284058031,9.34154288410062e-221,1.87991473616098e-218,"891","891","891"
"ENSG00000113721",11145.9451572206,1.3886810805493,0.0445161306623482,31.1950086381575,1.24516543236779e-213,2.46840108547895e-211,"5159","5159","5159"
"ENSG00000115461",200904.539632615,1.27117057105769,0.0408826801762999,31.0931319956513,2.982616861784e-212,5.82575252326692e-210,"3488","3488","3488"
"ENSG00000105088",793.128211520276,2.86559883606964,0.0924571587277149,30.9938016212329,6.53366643063587e-211,1.25768344248849e-208,"93145","93145","93145"
"ENSG00000160014",4226.55595021453,-1.42455569815288,0.0460418705710499,-30.9404392237836,3.41638363817843e-210,6.48234392604084e-208,"808","808","808"
"ENSG00000164924",9585.69435022083,-1.3370832631515,0.0432784823504886,-30.8948740929314,1.39966825037368e-209,2.61836531006524e-207,"7534","7534","7534"
"ENSG00000148175",3890.72249473237,1.38274751067476,0.0447780994947457,30.8799954950526,2.21727212027078e-209,4.09025115297728e-207,"2040","2040","2040"
"ENSG00000183287",603.48721362449,-3.43626972965833,0.111632643379324,-30.7819435752498,4.57177703438719e-208,8.31812911927817e-206,"147372","147372","147372"
"ENSG00000164761",5291.78842553364,1.48921262931283,0.0486251599203192,30.6263800829275,5.45337280624746e-206,9.78806724494308e-204,"4982","4982","4982"
"ENSG00000092820",1475.49048809515,-1.91025763925396,0.062561712184828,-30.5339731369632,9.23024213489514e-205,1.63461434714236e-202,"7430","7430","7430"
"ENSG00000127920",2352.92723869813,2.10484837454937,0.0691359795706576,30.4450502852599,1.39297213518336e-203,2.43440209204019e-201,"2791","2791","2791"
"ENSG00000068489",527.868372422254,-3.28319497712231,0.107964299106966,-30.4100059397364,4.05074881574826e-203,6.98727867152836e-201,"55771","55771","55771"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,6.69875225204368e-200,"9518","9518","9518"
"ENSG00000112984",587.875352632019,-3.36403265510348,0.11122228597005,-30.2460305123503,5.88364443539383e-201,9.89197030264568e-199,"10112","10112","10112"
"ENSG00000135074",13374.6004179129,1.14189974190776,0.0381291197896544,29.9482324325146,4.63936211161121e-197,7.70250094580252e-195,"8728","8728","8728"
"ENSG00000133818",917.65645300902,-2.58028680950679,0.0863114814566395,-29.8950587564999,2.28144457181837e-196,3.74100577813476e-194,"22800","22800","22800"
"ENSG00000066279",593.333577786577,-3.10038901713984,0.103804435400484,-29.8675967474641,5.18789023060894e-196,8.40311683450584e-194,"259266","259266","259266"
"ENSG00000076513",2351.57847713981,-1.94451162022608,0.0651531799099597,-29.8452297019631,1.0123650734759e-195,1.62002806095264e-193,"88455","88455","88455"
"ENSG00000116991",845.465812777274,2.4202446243872,0.0816027811246761,29.6588497478958,2.60792073379078e-193,4.12361942692967e-191,"57568","57568","57568"
"ENSG00000111615",1215.27891511062,1.95673337313478,0.0660945899605029,29.6050459546552,1.28671309275524e-192,2.01060274093825e-190,"11103","11103","11103"
"ENSG00000128591",23487.8410667789,-1.33082223233678,0.0449890116759562,-29.5810506334822,2.61952938303615e-192,4.04564991459141e-190,"2318","2318","2318"
